network_id;network_name;rent_rate;rent_period_days;share_of_time
12_sheet_Network_50;12_sheet_Network_50;1500000;28;999
12_sheet_Network_100;12_sheet_Network_100;2100000;28;999
12_sheet_Network_200;12_sheet_Network_200;3400000;28;999
12_sheet_Network_400;12_sheet_Network_400;5500000;28;999
4_sheet_Network_100;4_sheet_Network_100;400000;28;999
Xizhimen_Digita_Brand_Zone;Xizhimen_Digita_Brand_Zone;1500000;14;999
130_inch_Led_Network160;130_inch_Led_Network160;580000;28;0.046
130_inch_Led_Network320;130_inch_Led_Network320;930000;28;0.092
84_inch_Lcd_Network160;84_inch_Lcd_Network160;500000;28;0.046
84_inch_Lcd_Network320;84_inch_Lcd_Network320;800000;28;0.092
Guomao10_Brand_Zone_1;Guomao10_Brand_Zone_1;1900000;28;999
Guomao10_Brand_Zone_2;Guomao10_Brand_Zone_2;1900000;28;999
Guomao10_Brand_Zone_3;Guomao10_Brand_Zone_3;1300000;28;999
Guomao10_Brand_Zone_4;Guomao10_Brand_Zone_4;1300000;28;999
Guomao10_Brand_Zone_5;Guomao10_Brand_Zone_5;500000;28;999
Guomao10_Brand_Zone_6;Guomao10_Brand_Zone_6;500000;28;999
Guomao10_Brand_Zone_7;Guomao10_Brand_Zone_7;1700000;28;999
Guomao10_Brand_Zone_8;Guomao10_Brand_Zone_8;1700000;28;999
Guomao10_Brand_Zone_9;Guomao10_Brand_Zone_9;1000000;28;999
Guomao10_Brand_Zone_10;Guomao10_Brand_Zone_10;1900000;28;999
Guomao10_Brand_Zone_11;Guomao10_Brand_Zone_11;1600000;28;999
Guomao10_Brand_Zone_12;Guomao10_Brand_Zone_12;1600000;28;999
Guomao1_Brand_Zone_1;Guomao1_Brand_Zone_1;600000;28;999
Guomao1_Brand_Zone_2;Guomao1_Brand_Zone_2;600000;28;999
Guomao1_Brand_Zone_3;Guomao1_Brand_Zone_3;1900000;28;999
Guomao1_Brand_Zone_4;Guomao1_Brand_Zone_4;1900000;28;999
Xidan1_Brand_Zone_1A;Xidan1_Brand_Zone_1A;1000000;28;999
Xidan1_Brand_Zone_1B;Xidan1_Brand_Zone_1B;1000000;28;999
Xidan1_Brand_Zone_2;Xidan1_Brand_Zone_2;1880000;28;999
Xidan1_Brand_Zone_3;Xidan1_Brand_Zone_3;1780000;28;999
Xidan1_Brand_Zone_4;Xidan1_Brand_Zone_4;480000;28;999
Xidan1_Brand_Zone_5;Xidan1_Brand_Zone_5;480000;28;999
Jianguomen1_Brand_Zone_1;Jianguomen1_Brand_Zone_1;1600000;28;999
Fuxingmen1_Brand_Zone_1;Fuxingmen1_Brand_Zone_1;900000;28;999
Fuxingmen1_Brand_Zone_2;Fuxingmen1_Brand_Zone_2;900000;28;999
Fuxingmen2_Brand_Zone_1;Fuxingmen2_Brand_Zone_1;900000;28;999
Fuxingmen2_Brand_Zone_2;Fuxingmen2_Brand_Zone_2;900000;28;999
Fuxingmen2_Brand_Zone_3;Fuxingmen2_Brand_Zone_3;600000;28;999
Wangfujing1_Brand_Zone_1;Wangfujing1_Brand_Zone_1;1400000;28;999
Wangfujing1_Brand_Zone_2;Wangfujing1_Brand_Zone_2;1400000;28;999
Dawanglu1_Brand_Zone_1;Dawanglu1_Brand_Zone_1;1800000;28;999
Dawanglu1_Brand_Zone_2;Dawanglu1_Brand_Zone_2;1800000;28;999
Dongdan1_Brand_Zone_1;Dongdan1_Brand_Zone_1;1200000;28;999
Dongdan1_Brand_Zone_2;Dongdan1_Brand_Zone_2;1200000;28;999
Dongdan5_Brand_Zone_1;Dongdan5_Brand_Zone_1;1600000;28;999
Dongdan5_Brand_Zone_2;Dongdan5_Brand_Zone_2;1200000;28;999
Chongwenmen5_Brand_Zone_1;Chongwenmen5_Brand_Zone_1;800000;28;999
Chaoyangmen6_Brand_Zone_1;Chaoyangmen6_Brand_Zone_1;1200000;28;999
Chaoyangmen6_Brand_Zone_2;Chaoyangmen6_Brand_Zone_2;1200000;28;999
Chaoyangmen6_Brand_Zone_3;Chaoyangmen6_Brand_Zone_3;1000000;28;999
Chaoyangmen6_Brand_Zone_4;Chaoyangmen6_Brand_Zone_4;1000000;28;999
Chaoyangmen6_Brand_Zone_5;Chaoyangmen6_Brand_Zone_5;1100000;28;999
Xizhimen2_Brand_Zone_1;Xizhimen2_Brand_Zone_1;1800000;28;999
Xizhimen2_Brand_Zone_2;Xizhimen2_Brand_Zone_2;1100000;28;999
Xizhimen2_Brand_Zone_3;Xizhimen2_Brand_Zone_3;1000000;28;999
Dongzhimen2_Brand_Zone_1;Dongzhimen2_Brand_Zone_1;200000;28;999
Yonganli_Brand_Zone_1;Yonganli_Brand_Zone_1;800000;28;999
Yonganli_Brand_Zone_2;Yonganli_Brand_Zone_2;800000;28;999
Qingnianlu6_Brand_Zone_1;Qingnianlu6_Brand_Zone_1;1100000;28;999
Tuanjiehu_10_Brand_Zone_1;Tuanjiehu_10_Brand_Zone_1;1600000;28;999
Tuanjiehu_10_Brand_Zone_2;Tuanjiehu_10_Brand_Zone_2;1600000;28;999
Nanluoguxiang6_Brand_Zone_1;Nanluoguxiang6_Brand_Zone_1;1200000;28;999
Nanluoguxiang6_Brand_Zone_2;Nanluoguxiang6_Brand_Zone_2;880000;28;999
Nanluoguxiang8_Brand_Zone_1;Nanluoguxiang8_Brand_Zone_1;880000;28;999
Haidian_Huangzhuang10_Brand_Zone_1;Haidian_Huangzhuang10_Brand_Zone_1;1200000;28;999
Zhichunlu10_Brand_Zone_1;Zhichunlu10_Brand_Zone_1;880000;28;999
Suzhoujie10_Brand_Zone_1;Suzhoujie10_Brand_Zone_1;900000;28;999
Tiananmen_Dong1_Brand_Zone_1;Tiananmen_Dong1_Brand_Zone_1;900000;28;999
Tiananmen_Dong1_Brand_Zone_2;Tiananmen_Dong1_Brand_Zone_2;900000;28;999
Tiananmen_Dong1_Brand_Zone_3;Tiananmen_Dong1_Brand_Zone_3;800000;28;999
Tiananmen_Dong1_Brand_Zone_4;Tiananmen_Dong1_Brand_Zone_4;800000;28;999
Tiananmen_Xi1_Brand_Zone_1;Tiananmen_Xi1_Brand_Zone_1;900000;28;999
Tiananmen_Xi1_Brand_Zone_2;Tiananmen_Xi1_Brand_Zone_2;800000;28;999
Tiananmen_Xi1_Brand_Zone_3;Tiananmen_Xi1_Brand_Zone_3;800000;28;999
Huoying8_Brand_Zone_1;Huoying8_Brand_Zone_1;600000;28;999
South_Gate_of_Forest_Park8_Brand_Zone_1;South_Gate_of_Forest_Park8_Brand_Zone_1;700000;28;999
Dawang_Lu_PlatformL1_Pillar_Wrap;Dawang_Lu_PlatformL1_Pillar_Wrap;600000;28;999
Guomao_PlatformL1_Pillar_Wrap;Guomao_PlatformL1_Pillar_Wrap;600000;28;999
Jianguo_Men_PlatformL1_Pillar_Wrap;Jianguo_Men_PlatformL1_Pillar_Wrap;600000;28;999
Wangfujing_PlatformL1_Pillar_Wrap;Wangfujing_PlatformL1_Pillar_Wrap;600000;28;999
Dongdan_PlatformL1_Pillar_Wrap;Dongdan_PlatformL1_Pillar_Wrap;600000;28;999
Xidan_PlatformL1_Pillar_Wrap;Xidan_PlatformL1_Pillar_Wrap;600000;28;999
Fuxing_Men_PlatformL1_Pillar_Wrap;Fuxing_Men_PlatformL1_Pillar_Wrap;600000;28;999
Fuxing_Men_PlatformL2_Pillar_Wrap;Fuxing_Men_PlatformL2_Pillar_Wrap;600000;28;999
Hujialou_ConcourseL6_Pillar_Wrap;Hujialou_ConcourseL6_Pillar_Wrap;600000;28;999
Chaoyang_Men_PlatformL6_Pillar_Wrap;Chaoyang_Men_PlatformL6_Pillar_Wrap;600000;28;999
Shuangjing_South_Inerchange_Zone_Pillar_Wrap;Shuangjing_South_Inerchange_Zone_Pillar_Wrap;600000;28;999
Shaoyao_Ju_Concourse_L10_Pillar_Wrap;Shaoyao_Ju_Concourse_L10_Pillar_Wrap;500000;28;999
Zhichunlu10_Brand_Zone_3;Zhichunlu10_Brand_Zone_3;1080000;28;999
Sanyuan_Qiao_Concourse_L10_Pillar_Wrap;Sanyuan_Qiao_Concourse_L10_Pillar_Wrap;500000;28;999
Sanyuan_Qiao_PlatformL10_Pillar_Wrap;Sanyuan_Qiao_PlatformL10_Pillar_Wrap;500000;28;999
Liangma_Qiao_PlatformL10_Pillar_Wrap;Liangma_Qiao_PlatformL10_Pillar_Wrap;500000;28;999
Sihui_Dong_ConcourseL1_Pillar_Wrap;Sihui_Dong_ConcourseL1_Pillar_Wrap;500000;28;999
Sihui_ConcourseL1_Pillar_Wrap;Sihui_ConcourseL1_Pillar_Wrap;500000;28;999
Huixinxijie_Nankou_Inerchange_Zone_Pillar_Wrap;Huixinxijie_Nankou_Inerchange_Zone_Pillar_Wrap;500000;28;999
Qingnian_Lu_PlatformL6_Pillar_Wrap;Qingnian_Lu_PlatformL6_Pillar_Wrap;500000;28;999
Olympic_Sports_Center_ConcourseL8_Pillar_Wrap;Olympic_Sports_Center_ConcourseL8_Pillar_Wrap;400000;28;999
South_Gate_of_Forest_Park_North_Concourse_Pillar_Wrap;South_Gate_of_Forest_Park_North_Concourse_Pillar_Wrap;400000;28;999
All_type_digital_network_160;All_type_digital_network_160;1300000;28;0.046
All_type_digital_network_320;All_type_digital_network_320;2000000;28;0.092
135_inch_Led_Network_160;135_inch_Led_Network_160;580000;28;0.046
135_inch_Led_Network_320;135_inch_Led_Network_320;930000;28;0.092
Lishui_Qiao_Concourse_L5_Pillar_Wrap;Lishui_Qiao_Concourse_L5_Pillar_Wrap;500000;28;999
Songjia_Zhuang_Inerchange_Zone_Pillar_Wrap;Songjia_Zhuang_Inerchange_Zone_Pillar_Wrap;500000;28;999
Huoying_Concourse_L8_Pillar_Wrap;Huoying_Concourse_L8_Pillar_Wrap;500000;28;999
Shili_He_Concourse_L10_Pillar_Wrap;Shili_He_Concourse_L10_Pillar_Wrap;500000;28;999
Jiulongshan7_Brand_Zone_1;Jiulongshan7_Brand_Zone_1;1200000;28;999
Sanyuan_Qiao10_Brand_Zone_1;Sanyuan_Qiao10_Brand_Zone_1;880000;28;999
